store_id,uptime_last_hour,uptime_last_day,uptime_last_week,downtime_last_hour,downtime_last_day,downtime_last_week
5287762307701908907,13680.86478173334,27361.72956346663,0,0,0,0
6116579054514350508,16714.91426588334,33429.828531766645,0,213.6557166166667,213.6557166166667,213.6557166166667
941300723458735064,12625.671190466668,25251.3423809333,0,0,0,0
9110255800423014725,1859.6535275166668,3719.3070550333327,0,0,0,0
8495281535067179117,0,0,0,0,0,0
8270223232204355700,8840.046927516667,17680.09385503334,0,0,0,0
6948197723148786882,1845.3803163500002,3690.7606327,0,0,0,0
1674800709988001990,16918.361525466673,33836.72305093334,0,0,0,0
2890779009337846714,13498.263537533336,26996.527075066653,0,0,0,0
2782347163353428796,12454.161503700003,24908.32300739999,0,362.6488977166666,362.6488977166666,362.6488977166666
699676279979012872,0,0,0,14429.79748726666,14429.79748726666,14429.79748726666
7084257403488891852,0,0,0,0,0,0
3431507336179932532,0,0,0,0,0,0
1688085091692411988,0,0,0,0,0,0
802120305910173841,0,0,0,0,0,0
6862016321135651055,1796.1888460333332,3592.3776920666664,0,11086.145022366663,11086.145022366663,11086.145022366663
3836900409575942984,5770.087057550001,11540.174115099999,0,0,0,0
4554794504236412373,11595.607946366661,23191.21589273334,0,0,0,0
7661913130611066926,0,0,0,11416.940421433334,11416.940421433334,11416.940421433334
6678062634596607279,356.79906861666666,713.5981372333333,0,9209.22763815,9209.22763815,9209.22763815
7613775583675475070,14435.015348583336,28870.030697166676,0,0,0,0
1275857004453926379,6380.014813633335,12760.029627266658,0,0,0,0
836466127358265431,5861.5677921333345,11723.135584266674,0,0,0,0
6037883956648886198,16555.139483600007,33110.278967199985,0,362.3089645833334,362.3089645833334,362.3089645833334
1969138273974849954,14922.24879313333,29844.497586266647,0,0,0,0
814285516670824725,10558.465080966667,21116.930161933327,0,0,0,0
6240005054825541610,6328.85314905,12657.706298100005,0,0,0,0
8447207980168650595,1725.9413006500001,3451.8826013,0,11116.588721333335,11116.588721333335,11116.588721333335
3999766080126705763,0,0,0,14403.160903583337,14403.160903583337,14403.160903583337
2157622572548769108,15206.22612383334,30412.452247666646,0,0,0,0
4968504886829537647,7755.305605283332,15510.611210566667,0,0,0,0
4003200905466439078,1845.7507120666667,3691.501424133334,0,10014.158551733335,10014.158551733335,10014.158551733335
3246271487761249742,11447.811708150002,22895.623416299997,0,0,0,0
4172267359776302559,11255.403934499996,22510.807868999982,0,0,0,0
7444442394830756795,8658.195374483335,17316.390748966656,0,0,0,0
1129596624342748847,10367.728859783334,20735.457719566664,0,0,0,0
3389925435981916933,16833.72769135,33667.45538269999,0,61.01814241666666,61.01814241666666,61.01814241666666
4602355794979857942,0,0,0,0,0,0
7036913901882127069,12257.556593266663,24515.113186533294,0,0,0,0
8210760165609532470,14372.246305166667,28744.492610333346,0,0,0,0
888442407624089703,14792.576254883328,29585.15250976666,0,0,0,0
5699775637127338957,13154.162524050003,26308.32504809998,0,0,0,0
5155278218602233847,0,0,0,0,0,0
135571940966317143,0,0,0,0,0,0
2755101295207873030,1578.25189965,3156.5037993000005,0,10775.13650355,10775.13650355,10775.13650355
8153255866143678695,0,0,0,12944.84364856667,12944.84364856667,12944.84364856667
7761435528211475584,0,0,0,0,0,0
3233313946968521443,0,0,0,11450.528104133333,11450.528104133333,11450.528104133333
947526909755685902,10593.398732916667,21186.797465833322,0,0,0,0
6628144785915632941,11226.989891783336,22453.97978356666,0,0,0,0
1685764700981128841,15908.603562733342,31817.207125466666,0,0,0,0
